subject	n_runs	n_volumes	mean_fd_mm	worst_run_mean_fd_mm	max_fd_mm	max_translation_range_mm	max_rotation_range_degrees	n_fd_gt_0p2_mm	percent_fd_gt_0p2_mm	n_fd_gt_0p5_mm	percent_fd_gt_0p5_mm
sub-0000	6	3420	0.06158418174147005	0.07039020766153549	2.585434586110732	0.4769837347499929	1.7778188751824524	7	0.2050380785002929	5	0.14645577035735208
sub-0001	6	3420	0.07156561301059894	0.08025579980817205	0.2646846107649268	0.34534644292878613	0.6379418236237739	4	0.11716461628588166	0	0.0
sub-0003	6	3420	0.06701278360014783	0.07098741008603919	0.2613043689814608	0.373033324524826	0.5637633242311904	13	0.38078500292911543	0	0.0
sub-0004	6	3420	0.09705192574867638	0.1043984876928835	1.3828228229870612	2.0173852933329215	1.3340844537610919	203	5.946104276508494	41	1.200937316930287
sub-0005	6	3420	0.08672237144689808	0.10616125367284263	0.9412909816895956	1.8262198887901067	1.6456224931164571	137	4.012888107791447	27	0.7908611599297012
sub-0007	6	3420	0.107427597737497	0.1468779186550622	1.8056956442696128	2.3727436064196326	3.3737162625535255	313	9.16813122437024	45	1.3181019332161688
sub-0008	6	3420	0.06627023884076748	0.07510403153870336	0.1745291688828019	1.3607007811295944	0.5377221075274393	0	0.0	0	0.0
sub-0009	6	3420	0.11820312597586616	0.1639218428106671	1.4212539824907575	2.5171128074487825	2.102847038840717	276	8.084358523725834	27	0.7908611599297012
sub-0010	6	3420	0.08964729424480865	0.12094431086935378	0.8025018004502411	1.756652982741599	1.5011895635035586	157	4.598711189220856	21	0.6151142355008787
sub-0011	6	3420	0.054705830219075616	0.05912267947390984	1.1429498924055543	1.1106627420367232	1.1544889158644531	51	1.4938488576449913	8	0.23432923257176333
sub-0012	6	3420	0.11337579886914248	0.12835907888620998	0.5509674410122893	0.7688108544063396	1.0810169864062988	271	7.9379027533684825	5	0.14645577035735208
sub-0013	6	3420	0.0841059859272108	0.0936889104942673	1.9040008807112463	2.3517696290384578	2.3020974076181036	133	3.8957234915055654	17	0.4979496192149971
sub-0014	6	3420	0.07333851209136724	0.07951116819012446	1.4972180489423876	0.7258562000547784	1.468769420664164	30	0.8787346221441125	8	0.23432923257176333
