"subject_id"	"source_file"	"event_file"	"modified_time_ns"	"modified_time_utc"	"n_clean_trials"	"n_model_trials"	"n_excluded_missing_metadata"	"design_rank"	"design_columns"	"design_condition_number"	"n_eeg_channels"	"included_channels"	"source_sampling_frequency_hz"	"analysis_sampling_frequency_hz"
"sub-0000"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0000/eeg/sub-0000_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0000/eeg/sub-0000_task-thermalactive_proc-clean_events.tsv"	1784258578480000000	"2026-07-17T03:22:58.480000+00:00"	68	55	13	11	11	10.411727153635551	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0001"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0001/eeg/sub-0001_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0001/eeg/sub-0001_task-thermalactive_proc-clean_events.tsv"	1784258711710000000	"2026-07-17T03:25:11.710000+00:00"	64	64	0	12	12	11.452000847370389	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0003"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0003/eeg/sub-0003_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0003/eeg/sub-0003_task-thermalactive_proc-clean_events.tsv"	1784258851410000000	"2026-07-17T03:27:31.410000+00:00"	66	55	11	11	11	9.363866753322359	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0004"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0004/eeg/sub-0004_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0004/eeg/sub-0004_task-thermalactive_proc-clean_events.tsv"	1784258982430000000	"2026-07-17T03:29:42.430000+00:00"	61	61	0	12	12	10.90457362128442	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0005"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0005/eeg/sub-0005_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0005/eeg/sub-0005_task-thermalactive_proc-clean_events.tsv"	1784259118310000000	"2026-07-17T03:31:58.310000+00:00"	63	63	0	12	12	11.589888850482552	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0007"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0007/eeg/sub-0007_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0007/eeg/sub-0007_task-thermalactive_proc-clean_events.tsv"	1784259392230000000	"2026-07-17T03:36:32.230000+00:00"	65	65	0	12	12	12.417308968237826	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0008"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0008/eeg/sub-0008_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0008/eeg/sub-0008_task-thermalactive_proc-clean_events.tsv"	1784259537700000000	"2026-07-17T03:38:57.700000+00:00"	66	66	0	12	12	11.783251028910348	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0009"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0009/eeg/sub-0009_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0009/eeg/sub-0009_task-thermalactive_proc-clean_events.tsv"	1784259675760000000	"2026-07-17T03:41:15.760000+00:00"	54	54	0	12	12	11.663202161774224	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0010"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0010/eeg/sub-0010_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0010/eeg/sub-0010_task-thermalactive_proc-clean_events.tsv"	1784259810580000000	"2026-07-17T03:43:30.580000+00:00"	65	65	0	12	12	11.719621461696754	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0011"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0011/eeg/sub-0011_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0011/eeg/sub-0011_task-thermalactive_proc-clean_events.tsv"	1784259947550000000	"2026-07-17T03:45:47.550000+00:00"	66	66	0	12	12	11.154299249814066	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0012"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0012/eeg/sub-0012_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0012/eeg/sub-0012_task-thermalactive_proc-clean_events.tsv"	1784260082440000000	"2026-07-17T03:48:02.440000+00:00"	65	65	0	12	12	11.231419934893768	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0013"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0013/eeg/sub-0013_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0013/eeg/sub-0013_task-thermalactive_proc-clean_events.tsv"	1784260217170000000	"2026-07-17T03:50:17.170000+00:00"	61	61	0	12	12	10.56427308688649	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0014"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0014/eeg/sub-0014_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0014/eeg/sub-0014_task-thermalactive_proc-clean_events.tsv"	1784260361880000000	"2026-07-17T03:52:41.880000+00:00"	65	65	0	12	12	11.53344088828021	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
"sub-0015"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0015/eeg/sub-0015_task-thermalactive_proc-clean_epo.fif"	"/Volumes/KINGSTON/EEG_fMRI_data/derivatives/native_mne_preprocessing/preprocessed/eeg/sub-0015/eeg/sub-0015_task-thermalactive_proc-clean_events.tsv"	1784260517870000000	"2026-07-17T03:55:17.870000+00:00"	59	59	0	12	12	15.957486923913658	63	"AF3,AF4,AF7,AF8,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FT10,FT7,FT8,FT9,Fp1,Fp2,Fpz,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9"	500	200
