"band"	"frequency_hz"	"time_s"	"mean_temperature_slope_db_per_c"	"n_subjects"
"alpha"	8	-5	-0.10982104337533867	14
"alpha"	8	-4.95	-0.11873282592986793	14
"alpha"	8	-4.9	-0.11160803476525716	14
"alpha"	8	-4.85	-0.09593095484246643	14
"alpha"	8	-4.8	-0.0798314476217074	14
"alpha"	8	-4.75	-0.08030013269771887	14
"alpha"	8	-4.7	-0.09068497614109323	14
"alpha"	8	-4.65	-0.11375181393145464	14
"alpha"	8	-4.6	-0.13784976255399561	14
"alpha"	8	-4.55	-0.13230292430926707	14
"alpha"	8	-4.5	-0.1313993038846732	14
"alpha"	8	-4.45	-0.11520654114227875	14
"alpha"	8	-4.4	-0.08856456024355601	14
"alpha"	8	-4.35	-0.07873420498291493	14
"alpha"	8	-4.3	-0.07998295474551573	14
"alpha"	8	-4.25	-0.06853998800425103	14
"alpha"	8	-4.2	-0.06278851432433183	14
"alpha"	8	-4.15	-0.06420507332371608	14
"alpha"	8	-4.1	-0.06318368571313553	14
"alpha"	8	-4.05	-0.056556472313057986	14
"alpha"	8	-4	-0.05066824264443369	14
"alpha"	8	-3.95	-0.027448644308971343	14
"alpha"	8	-3.9	0.0010915224169730925	14
"alpha"	8	-3.8499999999999996	0.03341736150500704	14
"alpha"	8	-3.8	0.05005185621647507	14
"alpha"	8	-3.75	0.06834167410771211	14
"alpha"	8	-3.7	0.07058343263570395	14
"alpha"	8	-3.65	0.07212196537558054	14
"alpha"	8	-3.5999999999999996	0.06733498932378856	14
"alpha"	8	-3.55	0.05379378162521035	14
"alpha"	8	-3.5	0.037836974142882625	14
"alpha"	8	-3.45	0.021623517593977487	14
"alpha"	8	-3.4	0.037428634388037375	14
"alpha"	8	-3.3499999999999996	0.05449015983533032	14
"alpha"	8	-3.3	0.02849777601762129	14
"alpha"	8	-3.25	-0.007096498744667021	14
"alpha"	8	-3.2	-0.04813837695056542	14
"alpha"	8	-3.15	-0.06875711639663487	14
"alpha"	8	-3.0999999999999996	-0.07096942687035253	14
"alpha"	8	-3.05	-0.03742838470277256	14
"alpha"	8	-3	0.016877996810727637	14
"alpha"	8	-2.9499999999999997	0.058858750234231164	14
"alpha"	8	-2.9	0.08780939637117534	14
"alpha"	8	-2.85	0.09420085686140635	14
"alpha"	8	-2.8	0.09699661209409313	14
"alpha"	8	-2.75	0.10619496106250256	14
"alpha"	8	-2.6999999999999997	0.10641417597350293	14
"alpha"	8	-2.65	0.09276265610471376	14
"alpha"	8	-2.5999999999999996	0.09049364853833156	14
"alpha"	8	-2.55	0.08296207735878779	14
"alpha"	8	-2.5	0.0516129352152237	14
"alpha"	8	-2.4499999999999997	0.012075030249050323	14
"alpha"	8	-2.4	-0.010789059932265978	14
"alpha"	8	-2.3499999999999996	-0.03443261579541319	14
"alpha"	8	-2.3	-0.033574652378725034	14
"alpha"	8	-2.25	-0.045102454564545376	14
"alpha"	8	-2.1999999999999997	-0.07352327650409461	14
"alpha"	8	-2.15	-0.10875483864057292	14
"alpha"	8	-2.0999999999999996	-0.11400779226912094	14
"alpha"	8	-2.05	-0.10232483637320103	14
"alpha"	8	-2	-0.06825270924228242	14
"alpha"	8	-1.9499999999999997	-0.031227943019151876	14
"alpha"	8	-1.9	-0.012524785633091584	14
"alpha"	8	-1.8499999999999996	-0.012886471458166912	14
"alpha"	8	-1.7999999999999998	-0.028543177816597296	14
"alpha"	8	-1.75	-0.0141084668753949	14
"alpha"	8	-1.6999999999999997	-0.0175460814125125	14
"alpha"	8	-1.65	-0.05021036910996043	14
"alpha"	8	-1.5999999999999996	-0.08988337584499088	14
"alpha"	8	-1.5499999999999998	-0.10303479015069554	14
"alpha"	8	-1.5	-0.10175324525147121	14
"alpha"	8	-1.4499999999999997	-0.0872998070904851	14
"alpha"	8	-1.4	-0.07077252490841422	14
"alpha"	8	-1.3499999999999996	-0.07965727190335474	14
"alpha"	8	-1.2999999999999998	-0.1017405459935913	14
"alpha"	8	-1.25	-0.10761006901435519	14
"alpha"	8	-1.1999999999999997	-0.1049471445571984	14
"alpha"	8	-1.15	-0.0733878706740759	14
"alpha"	8	-1.0999999999999996	-0.05258706784570401	14
"alpha"	8	-1.0499999999999998	-0.024735503893589146	14
"alpha"	8	-1	-0.005369357514677626	14
"alpha"	8	-0.9500000000000002	0.010306359535674893	14
"alpha"	8	-0.8999999999999995	0.014656488228161133	14
"alpha"	8	-0.8499999999999996	0.01216597661199848	14
